"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Total do 4º Trimestre,8184.932,8071.477,-1.3861446863578042,11190.352,11886.118,6.2175524058581955,1416479.444,1470274.157,3.797775762145128
 Outubro ,2812.702,2914.775,3.629001579264357,3922.085,4135.775,5.448377584881503,501885.05,516272.381,2.8666586103730296
 Novembro ,2663.844,2611.819,-1.9530047555337382,3663.749,3829.888,4.534671998545758,464696.5,475577.669,2.3415646556408376
 Dezembro ,2708.386,2544.883,-6.036916451347785,3604.518,3920.455,8.765027668054358,449897.894,478424.107,6.34059714002575
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2019 são preliminares.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Tabela 1a - ,"Peso total das carcaças dos animais abatidos por espécie e variação, ",,,,,,,,
segundo os meses - Brasil - 2018 - 2019,,,,,,,,,
,,,,,,,,,
Mês,Peso total das carcaças de animais abatidos (toneladas) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2018,2019.0,Variação,2018,2019.0,Variação,2018,2019.0,Variação
Total do ano,7989515.631000001,8216892.332,2.8459384961681433,3950758.574,4124139.7930000005,4.388555153458995,13511749.632000001,13552023.713,0.2980671052741801
Total do 1º Trimestre,1892512.091,1950381.073,3.0577866463945336,955095.66,990882.882,3.7469777634629775,3461972.992,3356390.06,-3.049790747760983
 Janeiro ,656914.043,686987.219,4.5779468897729325,328428.657,342996.37,4.435579140099222,1202368.496,1179827.148,-1.8747453941940218
 Fevereiro ,590162.139,622500.361,5.479548731268258,295882.233,319375.094,7.939936359747546,1086387.884,1075999.344,-0.956245936925415
 Março ,645435.909,640893.493,-0.7037749119099601,330784.77,328511.418,-0.6872601782724197,1173216.612,1100563.568,-6.1926368291143845
Total do 2º Trimestre,1908072.206,1977662.002,3.647125920139316,975216.444,1017467.952,4.332526205844012,3334119.58,3344801.664,0.32038694904876763
 Abril ,639384.406,651784.088,1.9393156735824535,329607.699,337605.867,2.426571959412871,1157948.853,1111909.924,-3.9759035021903366
 Maio ,564682.221,709958.505,25.727086597968164,277543.211,359213.586,29.426183658298875,976393.395,1183917.743,21.254173682729594
 Junho ,704005.579,615919.409,-12.512140901656132,368065.534,320648.499,-12.882769675467621,1199777.332,1048973.997,-12.56927689645665
Total do 3º Trimestre,2115653.757,2197488.18,3.86804422648257,1039666.858,1057542.992,1.7194098150236536,3378889.12,3451282.212,2.1425116193217963
 Julho ,719976.186,751802.622,4.420484540859526,363002.599,365331.008,0.6414303937256394,1130244.01,1202258.796,6.371614037574069
 Agosto ,747806.788,744211.855,-0.4807301909647732,366756.205,356362.31,-2.8340065848374674,1187249.437,1161458.043,-2.1723652331367527
 Setembro ,647870.783,701473.703,8.273705406468368,309908.054,335849.674,8.370747279772207,1061395.673,1087565.373,2.46559324347273
Total do 4º Trimestre,2073277.577,2091361.077,0.8722179895548132,980779.612,1058245.967,7.898446710370655,3336767.94,3399549.777,1.8815164293384923
 Outubro ,721661.48,769623.588,6.646067350026774,346925.917,371471.792,7.075249728315924,1184558.864,1191446.748,0.5814724965833129
 Novembro ,677265.998,676469.006,-0.11767784036900153,321482.234,341892.395,6.3487679384485185,1105807.438,1099861.707,-0.5376823120989083
 Dezembro ,674350.099,645268.483,-4.31253973909479,312371.461,344881.78,10.407582976986497,1046401.638,1108241.322,5.909746483022982
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2019 são preliminares.,,,,,,,,,
