"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Mês,Peso total das carcaças de animais abatidos (toneladas) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2017,2018.0,Variação,2017,2018.0,Variação,2017,2018.0,Variação
Total do ano,7681537.705,7954742.361,3.556640174039205,3824682.359,3937315.8800000004,2.9449117711686013,13607352.197999999,13511749.632000001,-0.7025802272836668
Total do 1º Trimestre,1796564.506,1885369.204,4.943028636234215,900320.269,954602.093,6.029168271452079,3411021.351,3461972.992,1.4937356221784714
 Janeiro ,606416.833,654365.933,7.906953994464727,302268.998,328274.005,8.603266352839789,1147840.41,1202368.496,4.750493668366329
 Fevereiro ,563308.719,588075.642,4.396687316320413,275751.878,295733.05,7.246069236199348,1044389.658,1086387.884,4.021317683327741
 Março ,626838.954,642927.629,2.56663611878849,322299.393,330595.038,2.573894081147099,1218791.283,1173216.612,-3.739333521308097
Total do 2º Trimestre,1832185.134,1899566.583,3.6776550442199962,951012.916,974527.594,2.4725929169189254,3385561.702,3334119.58,-1.519456046824097
 Abril ,515198.736,636867.816,23.615950796897934,277363.606,329358.822,18.74622873196996,1045881.5,1157948.853,10.715109981388892
 Maio ,678956.91,562237.281,-17.191021592224477,345168.098,277343.041,-19.64986260114918,1215628.131,976393.395,-19.67992759456798
 Junho ,638029.488,700461.486,9.785127360759226,328481.212,367825.731,11.977707571293305,1124052.071,1199777.332,6.736810771820556
Total do 3º Trimestre,2019808.382,2106571.541,4.295613374675078,987822.374,1037531.104,5.032152673229495,3458254.601,3378889.12,-2.294957721650981
 Julho ,674912.162,716562.829,6.171272255129412,328848.009,362778.867,10.318097440571705,1135716.738,1130244.01,-0.4818743808986503
 Agosto ,709473.017,744589.037,4.949592043470208,346630.227,365618.939,5.4780889030776825,1218089.833,1187249.437,-2.531865480236728
 Setembro ,635423.203,645419.675,1.5731990825648356,312344.138,309133.298,-1.0279815144153437,1104448.03,1061395.673,-3.8980880793458517
Total do 4º Trimestre,2032979.683,2063235.033,1.4882268747198335,985526.8,970655.089,-1.5090113226753465,3352514.544,3336767.94,-0.46969532252088
 Outubro ,676075.63,718745.206,6.311361348729583,336804.834,343067.446,1.8594186804337998,1129968.79,1184558.864,4.831113432787815
 Novembro ,657780.766,674067.788,2.4760562852943035,326832.842,317913.037,-2.7291642251790593,1116519.931,1105807.438,-0.9594538084425897
 Dezembro ,699123.287,670422.039,-4.105319981996258,321889.124,309674.606,-3.794635198671692,1106025.823,1046401.638,-5.390849269529219
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2018 são preliminares.,,,,,,,,,
